date,value
2021-03-25,3832.57
2021-03-26,3866.68
2021-03-29,3882.87
2021-03-30,3926.2
2021-03-31,3919.21
2021-04-01,3945.96
2021-04-06,3970.42
2021-04-07,3956.77
2021-04-08,3977.83
2021-04-09,3978.84
2021-04-12,3961.9
2021-04-13,3966.99
2021-04-14,3976.28
2021-04-15,3993.43
2021-04-16,4032.99
2021-04-19,4019.91
2021-04-20,3940.46
2021-04-21,3976.41
2021-04-22,4014.8
2021-04-23,4013.34
2021-04-26,4020.83
2021-04-27,4011.91
2021-04-28,4015.03
2021-04-29,3996.9
2021-04-30,3974.74
2021-05-03,4000.25
2021-05-04,3924.8
2021-05-05,4002.79
2021-05-06,3999.44
2021-05-07,4034.25
2021-05-10,4023.35
2021-05-11,3946.06
2021-05-12,3947.43
2021-05-13,3952.45
2021-05-14,4017.44
2021-05-17,4006.84
2021-05-18,4005.34
2021-05-19,3936.74
2021-05-20,3999.91
2021-05-21,4025.78
2021-05-24,4035.58
2021-05-25,4036.04
2021-05-26,4031.67
2021-05-27,4039.21
2021-05-28,4070.56
2021-05-31,4039.46
2021-06-01,4071.75
2021-06-02,4088.5
2021-06-03,4079.24
2021-06-04,4089.38
2021-06-07,4097.65
2021-06-08,4096.01
2021-06-09,4096.85
2021-06-10,4096.07
2021-06-11,4126.7
2021-06-14,4132.67
2021-06-15,4143.52
2021-06-16,4151.76
2021-06-17,4158.14
2021-06-18,4083.37
2021-06-21,4112.33
2021-06-22,4123.13
2021-06-23,4075.94
2021-06-24,4122.43
2021-06-25,4120.66
2021-06-28,4089.91
2021-06-29,4107.51
2021-06-30,4064.3
2021-07-01,4078.89
2021-07-02,4084.31
2021-07-05,4087.37
2021-07-06,4052.67
2021-07-07,4078.53
2021-07-08,3991.66
2021-07-09,4068.09
2021-07-12,4093.38
2021-07-13,4094.56
2021-07-14,4099.5
2021-07-15,4056.39
2021-07-16,4035.77
2021-07-19,3928.53
2021-07-20,3956.34
2021-07-21,4026.68
2021-07-22,4059.05
2021-07-23,4109.1
2021-07-26,4102.59
2021-07-27,4064.83
2021-07-28,4103.03
2021-07-29,4116.77
2021-07-30,4089.3
2021-08-02,4116.62
2021-08-03,4117.95
2021-08-04,4144.9
2021-08-05,4161.08
2021-08-06,4174.54
2021-08-09,4177.15
2021-08-10,4187.82
2021-08-11,4206.33
2021-08-12,4226.33
2021-08-13,4229.7
2021-08-16,4202.44
2021-08-17,4196.4
2021-08-18,4189.42
2021-08-19,4124.71
2021-08-20,4147.5
2021-08-23,4176.42
2021-08-24,4178.08
2021-08-25,4181.12
2021-08-26,4169.87
2021-08-27,4190.98
2021-08-30,4198.8
2021-08-31,4196.41
2021-09-01,4227.27
2021-09-02,4232.1
2021-09-03,4201.98
2021-09-06,4246.13
2021-09-07,4225.01
2021-09-08,4177.15
2021-09-09,4177.11
2021-09-10,4170.35
2021-09-13,4189.53
2021-09-14,4191.67
2021-09-15,4145.94
2021-09-16,4169.87
2021-09-17,4130.84
2021-09-20,4043.63
2021-09-21,4097.51
2021-09-22,4150.19
